TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
180830:164105,180831-0100,2,0.0355820413868552,16400,0,0,0,0,0,0
180830:164105,180831-0200,0,0.0355431314530766,6449.9999999999,0,0,0,0,0,0
180830:164105,180831-0200,1,0.0355200105184477,-0,0,0,0,0,0,0
180830:164105,180831-0200,2,0.0355787986313024,16400,0,0,0,0,0,0
180830:164105,180831-0300,0,0.035543970364064,6449.99999999997,0,0,0,0,0,0
180830:164105,180831-0300,1,0.0355208494294352,-0,0,0,0,0,0,0
180830:164105,180831-0300,2,0.0355796375422899,16400,0,0,0,0,0,0
180830:164105,180831-0400,0,0.0355474682046295,6450.00000000011,0,0,0,0,0,0
180830:164105,180831-0400,1,0.0355243472700007,-0,0,0,0,0,0,0
180830:164105,180831-0400,2,0.0355831353828554,16400,0,0,0,0,0,0
180830:164105,180831-0500,0,0.0355499670583759,6447.95554957742,0,0,0,0,0,0
180830:164105,180831-0500,1,0.035526853452368,-0,0,0,0,0,0,0
180830:164105,180831-0500,2,0.0355856415652227,16400,0,0,0,0,0,0
180830:164105,180831-0600,0,0.0411022010044208,6447.95554957739,0,0,0,0,0,0
180830:164105,180831-0600,1,0.041076017423967,-0,0,0,0,0,0,0
180830:164105,180831-0600,2,0.0411426138383096,16400,0,0,0,0,0,0
180830:164105,180831-0700,0,0.0411205028696169,6432.42640687117,0,0,0,0,0,0
180830:164105,180831-0700,1,0.0410943823492376,-0,0,0,0,0,0,0
180830:164105,180831-0700,2,0.0411609787635802,16400,0,0,0,0,0,0
180830:164105,180831-0800,0,0.0411255209897506,6405.52914270627,0,0,0,0,0,0
180830:164105,180831-0800,1,0.0410995096926242,-0,0,0,0,0,0,0
180830:164105,180831-0800,2,0.0411661061069669,16400,0,0,0,0,0,0
180830:164105,180831-0900,0,0.0411233261846711,6374.47085729382,0,0,0,0,0,0
180830:164105,180831-0900,1,0.0410974410076939,-0,0,0,0,0,0,0
180830:164105,180831-0900,2,0.0411640374220365,16400,0,0,0,0,0,0
180830:164105,180831-1000,0,0.0411192518556009,6347.5735931287,0,0,0,0,0,0
180830:164105,180831-1000,1,0.0410934759018766,-0,0,0,0,0,0,0
180830:164105,180831-1000,2,0.0411600723162192,16400,0,0,0,0,0,0
180830:164105,180831-1100,0,0.0411082315431553,6332.04445042269,0,0,0,0,0,0
180830:164105,180831-1100,1,0.0410825186495055,-0,0,0,0,0,0,0
180830:164105,180831-1100,2,0.0411491150638481,16400,0,0,0,0,0,0
180830:164105,180831-1200,0,0.0410981784044444,6332.04445042255,0,0,0,0,0,0
180830:164105,180831-1200,1,0.0410724655107946,-0,0,0,0,0,0,0
180830:164105,180831-1200,2,0.0411390619251372,16400,0,0,0,0,0,0
180830:164105,180831-1300,0,0.0410863730473323,6347.57359312882,0,0,0,0,0,0
180830:164105,180831-1300,1,0.0410605970936081,-0,0,0,0,0,0,0
180830:164105,180831-1300,2,0.0411271935079507,16400,0,0,0,0,0,0
180830:164105,180831-1400,0,0.0410769416038224,6374.47085729377,0,0,0,0,0,0
180830:164105,180831-1400,1,0.0410510564268451,-0,0,0,0,0,0,0
180830:164105,180831-1400,2,0.0411176528411877,16400,0,0,0,0,0,0
180830:164105,180831-1500,0,0.0410864333170584,8200,0,0,0,0,0,0
180830:164105,180831-1500,1,0.0410531351098871,-0,0,0,0,0,0,0
180830:164105,180831-1500,2,0.0411197315242297,16400,0,0,0,0,0,0
180830:164105,180831-1600,0,0.0410961677823595,8200,0,0,0,0,0,0
180830:164105,180831-1600,1,0.0410628695751882,-0,0,0,0,0,0,0
180830:164105,180831-1600,2,0.0411294659895308,16400,0,0,0,0,0,0
